name,成本,结算,短码
阳光全车膜,340,680,ygqc
舒适型全包脚垫,180,250,hhtqbjd
下护板,100,200,xhb
原厂行车记录仪（6月活动）,245,550,ycxcjly
AJ日式竹碳包,8,10,rsztb
诗蒂香水-新苹果,8,10,xs
车衣-单层通用（轿车）,60,80,cy
后备箱垫皮革,90,150,hbxdpg
原厂倒车影像,499,499,ycdcyx
阳光车身膜,150,300,ygcs
创酷挡泥板,75,80,CKDNB
头枕,20,25,tz
抱枕,48,60,bz
FL,200,200,fl
火丁LED大灯,430,600,hdled
原厂LED大灯,1100,1100,tjzleddd
原厂底盘装甲,198,380,ycdpzj
置换,0,0,zh
手提式干粉灭火器(1Kg),48,60,mhq
探界者侧踏板,780,1200,tjzctb
绒脚垫（定制）,40,50,jd
原厂MYCHEVY行车记录仪,380,380,ycmychevyxcjly
小苹果行车记录仪(夜视),180,380,xpgxcjly
探界者记录仪工时费,0,0,tjzjlygsf
阳光前挡膜,190,380,ygqd
第一现场行车记录仪,360,520,dyxcxcjly
方向套-威利斯尔方向套-PU皮,30,30,fxt
倒车雷达,200,300,dcld
原厂倒车摄像头N,0,0,ycdcsxt
