车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGTN8399LY011709,SGM7137GBA1,7137CR20,2019/11/17 10:18,网点,内江晨隆,192174126,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/10 0:00,2019/10/13 9:37,厂家到车,TRUE,,,,,
LSGTN8398LY012527,SGM7137GBA1,7137CR20,2019/11/25 11:44,库房,3号库,192294457,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/16 0:00,2019/11/25 11:44,厂家到车,FALSE,,,,,
LSGTN8391LY012725,SGM7137GBA1,7137CR20,2019/11/27 14:06,库房,3号库,192174044,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/27 14:06,厂家到车,FALSE,,,,,
LSGTN8398LY012592,SGM7137GBA1,7137CR20,2019/11/20 9:33,库房,3号库,192244263,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/20 9:33,厂家到车,FALSE,,,,,
LSGTN8395LY012811,SGM7137GBA1,7137CR20,2019/11/20 9:34,库房,3号库,192314385,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/20 9:34,厂家到车,FALSE,,,,,
LSGTN8393LY012628,SGM7137GBA1,7137CR20,2019/11/21 13:16,网点,温江爱车居,192314450,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/20 9:36,厂家到车,TRUE,,,,,
LSGTN8390LY012957,SGM7137GBA1,7137CR20,2019/11/20 9:36,库房,3号库,192314304,闪电白,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/20 9:36,厂家到车,FALSE,,,,,
LSGTN8399LY013010,SGM7137GBA1,7137CR20,2019/12/22 9:15,店内,展厅,192294469,闪电白,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/20 9:34,厂家到车,FALSE,,,,,
LSGTN8393LY013472,SGM7137GBA1,7137CR20,2019/11/18 15:10,库房,3号库,192334160,闪电白,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/20 0:00,2019/11/18 15:10,厂家到车,FALSE,,,,,
LSGTN8393LY013388,SGM7137GBA1,7137CR20,2019/11/20 9:37,库房,3号库,192314056,闪电白,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/20 0:00,2019/11/20 9:37,厂家到车,FALSE,,,,,
LSGTN8395LY011903,SGM7137GBA1,7137CR20,2019/12/22 8:54,店内,展厅,192174228,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/11 0:00,2019/10/13 11:22,厂家到车,TRUE,,,,,
LSGTN8391LY012031,SGM7137GBA1,7137CR20,2019/11/19 10:27,网点,彭州辰威,192174170,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/11 0:00,2019/10/13 11:23,厂家到车,TRUE,,,,,
LSGTN8392LY012331,SGM7137GBA1,7137CR20,2019/11/20 9:33,库房,3号库,192324055,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/20 9:33,厂家到车,FALSE,,,,,
LSGTN8390LY012988,SGM7137GBA1,7137CR20,2019/11/25 11:46,库房,3号库,192314168,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/25 11:46,厂家到车,FALSE,,,,,
LSGTN8396LY013059,SGM7137GBA1,7137CR20,2019/11/25 11:45,库房,3号库,192314078,珍珠黑,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/25 11:45,厂家到车,FALSE,,,,,
LSGTN8399LY013265,SGM7137GBA1,7137CR20,2019/11/25 11:46,库房,3号库,192314081,珍珠黑,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/25 11:46,厂家到车,FALSE,,,,,
LSGTN8394LY013268,SGM7137GBA1,7137CR20,2019/11/20 9:33,库房,3号库,192314068,珍珠黑,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/20 9:33,厂家到车,FALSE,,,,,
LSGTN8492LY012439,SGM7137GBA1,7137FR20,2019/11/20 9:35,库房,3号库,192244331,风尚红,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/16 0:00,2019/11/20 9:35,厂家到车,FALSE,,,,,
LSGTN8495LY012483,SGM7137GBA1,7137FR20,2019/12/2 10:54,网点,崇州长远,192244258,风尚红,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/16 0:00,2019/11/20 9:35,厂家到车,TRUE,,,,,
LSGTN8492LY012098,SGM7137GBA1,7137FR20,2019/10/13 9:07,库房,3号库,192172020,闪电白,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/11 0:00,2019/10/13 9:07,厂家到车,TRUE,,,,,
LSGTN8494LY012216,SGM7137GBA1,7137FR20,2019/11/5 11:15,网点,郫县鸿合,192172002,闪电白,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/12 0:00,2019/10/21 12:36,厂家到车,TRUE,,,,,
LSGTN8496LY013884,SGM7137GBA1,7137FR20,2019/11/20 9:37,库房,3号库,192324187,闪电白,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/20 0:00,2019/11/20 9:37,厂家到车,FALSE,,,,,
LSGTN849XLY011751,SGM7137GBA1,7137FR20,2019/12/3 8:47,库房,3号库,192174060,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/10 0:00,2019/10/13 9:37,厂家到车,TRUE,,,,,
LSGTN849XLY011829,SGM7137GBA1,7137FR20,2019/11/18 10:08,网点,大邑金明,192154288,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/10 0:00,2019/10/13 9:38,厂家到车,TRUE,,,,,
LSGTN8492LY011839,SGM7137GBA1,7137FR20,2019/12/16 15:55,库房,3号库,192174221,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/11 0:00,2019/10/21 12:37,厂家到车,TRUE,,,,,
LSGTN8498LY012672,SGM7137GBA1,7137FR20,2019/11/20 9:38,库房,3号库,192314401,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/17 0:00,2019/11/20 9:38,厂家到车,FALSE,,,,,
LSGTN8498LY012476,SGM7137GBA1,7137FR20,2019/11/20 9:35,库房,3号库,192254025,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/17 0:00,2019/11/20 9:35,厂家到车,FALSE,,,,,
LSGTN8494LY013074,SGM7137GBA1,7137FR20,2019/11/20 9:37,库房,3号库,192314309,珍珠黑,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/19 0:00,2019/11/20 9:37,厂家到车,FALSE,,,,,
LSGTN8498LY013157,SGM7137GBA1,7137FR20,2019/11/20 9:36,库房,3号库,192314195,珍珠黑,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/19 0:00,2019/11/20 9:36,厂家到车,FALSE,,,,夏轩颐:(暂定),
