客户编号,dealer_code,name,vin,fp_code,stype,fp_dt,so_no,price,state
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB5412LV060635,3118295267,科鲁泽 LT,2019/12/9,1318023401,-15000,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGXC83L3KV430769,3118246008,探界者 LT,2019/11/29,1317974051,-43904,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A6LD116554,3118232777,新科沃兹 LT,2019/11/27,1317961855,-44940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54AXLD116475,3118232589,新科沃兹 LT,2019/11/27,1317960652,-44940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A8LD116619,3118232588,新科沃兹 LT,2019/11/27,1317960649,-44940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A0LD117747,3118232787,新科沃兹 LTZ,2019/11/27,1317961890,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A3LD117886,3118232788,新科沃兹 LTZ,2019/11/27,1317961893,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A2LD117796,3118232789,新科沃兹 LTZ,2019/11/27,1317961894,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A5LD118294,3118232779,新科沃兹 LTZ,2019/11/27,1317961881,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A1LD118194,3118232781,新科沃兹 LTZ,2019/11/27,1317961873,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A5LD118179,3118232783,新科沃兹 LTZ,2019/11/27,1317961871,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54AXLD118310,3118232784,新科沃兹 LTZ,2019/11/27,1317961869,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A3LD118178,3118232782,新科沃兹 LTZ,2019/11/27,1317961872,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A9LD118203,3118232780,新科沃兹 LTZ,2019/11/27,1317961875,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A9LD118153,3118232785,新科沃兹 LTZ,2019/11/27,1317961868,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A3LD118164,3118232786,新科沃兹 LTZ,2019/11/27,1317961866,-50940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54AXLV063069,3118232803,科鲁泽 LS,2019/11/27,1317961998,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A5LD116545,3118232778,新科沃兹 LT,2019/11/27,1317961856,-44940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54A0LV063582,3118232799,科鲁泽 LS,2019/11/27,1317961999,-14818,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54AXLV063539,3118232804,科鲁泽 LS,2019/11/27,1317961995,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEM8391LG044074,3118232790,新一代创酷 LTZ,2019/11/27,1317961909,-77940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGXC83L9KV426015,3118232810,探界者 LTZ,2019/11/27,1317961847,-132540,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGXC83L6KV425260,3118232590,探界者 LTZ,2019/11/27,1317960414,-132540,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGZG53L2KS112042,3118232811,全新迈锐宝XL LT,2019/11/27,1317962075,-105940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGZG53L6KS112576,3118232812,全新迈锐宝XL LT,2019/11/27,1317961956,-105940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGZG53LXKS112581,3118232813,全新迈锐宝XL LT,2019/11/27,1317961943,-105940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGTN8390LY017446,3118230772,创界 LT,2019/11/27,1317960077,-97940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGTN8398LY017601,3118230773,创界 LT,2019/11/27,1317959924,-97940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54A0LV063503,3118230769,科鲁泽 LS,2019/11/27,1317960032,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54AXLV063542,3118230770,科鲁泽 LS,2019/11/27,1317960031,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54A9LV063371,3118230771,科鲁泽 LS,2019/11/27,1317960025,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54A4LV063178,3118214327,科鲁泽 LS,2019/11/22,1317943689,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54A4LV063102,3118214326,科鲁泽 LS,2019/11/22,1317943680,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB54A6LV063134,3118214328,科鲁泽 LS,2019/11/22,1317943690,-53940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKH8419KY063643,3200016082,沃兰多 LT,2019/11/21,1317890715,82940,退车
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB5418LV056508,3118212014,科鲁泽 LT,2019/11/21,1317941471,-59940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB5415LV057812,3118212015,科鲁泽 LT,2019/11/21,1317941458,-59940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB5415LV062623,3118212016,科鲁泽 LT,2019/11/21,1317941456,-59940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGKB5419LV062754,3118212017,科鲁泽 LT,2019/11/21,1317941451,-59940,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGEN54A8LD121111,3118301179,新科沃兹 LT,2019/12/11,1318028129,-9000,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGZG539XKS114674,3118295271,全新迈锐宝XL LT,2019/12/9,1318023214,-9000,Call车扣款
1200044,CH1677,四川灵通汽车销售服务有限公司,LSGZG5393KS115679,3118295272,全新迈锐宝XL LT,2019/12/9,1318023202,-9000,Call车扣款
