序号,SO时间,金额(元),车型,车架号(VIN#),开票时间,发票号码,操作,状态
1,2019-12-11,-77304.0,新科沃兹 LT,LSGEN54A8LD121111,2019-12-11,3118301179,Call车扣款,已用,
2,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5419LV060857,2019-12-09,3118295265,Call车扣款,已用,
3,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5418LV060655,2019-12-09,3118295266,Call车扣款,已用,
4,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5410LV060858,2019-12-09,3118295268,Call车扣款,已用,
5,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5413LV060580,2019-12-09,3118295269,Call车扣款,已用,
6,2019-12-09,-86304.0,科鲁泽 LT,LSGKB5412LV060635,2019-12-09,3118295267,Call车扣款,已用,
7,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5417LV060758,2019-12-09,3118295270,Call车扣款,已用,
8,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5419LV064679,2019-12-09,3118295264,Call车扣款,已用,
9,2019-12-09,-101304.0,科鲁泽 LT,LSGKB5410LV064733,2019-12-09,3118295263,Call车扣款,已用,
10,2019-12-09,-149304.0,全新迈锐宝XL LT,LSGZG539XKS114674,2019-12-09,3118295271,Call车扣款,已用,
11,2019-12-09,-149304.0,全新迈锐宝XL LT,LSGZG5398KS116603,2019-12-09,3118295273,Call车扣款,已用,
12,2019-12-09,-149304.0,全新迈锐宝XL LT,LSGZG5393KS115679,2019-12-09,3118295272,Call车扣款,已用,
13,2019-11-29,-157960.0,探界者 LT,LSGXC83L3KV430769,2019-11-29,3118246008,Call车扣款,已用,
14,2019-11-27,-70164.0,全新迈锐宝XL LT,LSGZG53L2KS112042,2019-11-27,3118232811,Call车扣款,已用,
15,2019-11-27,-101304.0,科鲁泽 LT,LSGKB5416LV059987,2019-11-27,3118232807,Call车扣款,已用,
16,2019-11-27,-101304.0,科鲁泽 LT,LSGKB541XLV060172,2019-11-27,3118232806,Call车扣款,已用,
17,2019-11-27,-101304.0,科鲁泽 LT,LSGKB5418LV059988,2019-11-27,3118232805,Call车扣款,已用,
18,2019-11-27,-101304.0,科鲁泽 LT,LSGKB5419LV060065,2019-11-27,3118232808,Call车扣款,已用,
19,2019-11-27,-101304.0,科鲁泽 LT,LSGKB541XLV059992,2019-11-27,3118232809,Call车扣款,已用,
20,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54AXLV063590,2019-11-27,3118232802,Call车扣款,已用,
21,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54AXLV063587,2019-11-27,3118232801,Call车扣款,已用,
22,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A3LV063642,2019-11-27,3118232800,Call车扣款,已用,
23,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A5LV063593,2019-11-27,3118232798,Call车扣款,已用,
24,2019-11-27,-76886.0,科鲁泽 LS,LSGKB54A0LV063582,2019-11-27,3118232799,Call车扣款,已用,
25,2019-11-27,-37764.0,科鲁泽 LS,LSGKB54AXLV063069,2019-11-27,3118232803,Call车扣款,已用,
26,2019-11-27,-37764.0,科鲁泽 LS,LSGKB54AXLV063539,2019-11-27,3118232804,Call车扣款,已用,
27,2019-11-27,-70164.0,全新迈锐宝XL LT,LSGZG53L6KS112576,2019-11-27,3118232812,Call车扣款,已用,
28,2019-11-27,-70164.0,全新迈锐宝XL LT,LSGZG53LXKS112581,2019-11-27,3118232813,Call车扣款,已用,
29,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A2LV060568,2019-11-27,3118232791,Call车扣款,已用,
30,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A2LV062112,2019-11-27,3118232792,Call车扣款,已用,
31,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A1LV063333,2019-11-27,3118232795,Call车扣款,已用,
32,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A8LV063281,2019-11-27,3118232793,Call车扣款,已用,
33,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A9LV063337,2019-11-27,3118232797,Call车扣款,已用,
34,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A1LV063266,2019-11-27,3118232796,Call车扣款,已用,
35,2019-11-27,-91704.0,科鲁泽 LS,LSGKB54A8LV063278,2019-11-27,3118232794,Call车扣款,已用,
36,2019-11-27,-50364.0,新一代创酷 LTZ,LSGEM8391LG044074,2019-11-27,3118232790,Call车扣款,已用,
37,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A3LD117886,2019-11-27,3118232788,Call车扣款,已用,
38,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A2LD117796,2019-11-27,3118232789,Call车扣款,已用,
39,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A0LD117747,2019-11-27,3118232787,Call车扣款,已用,
40,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A5LD118294,2019-11-27,3118232779,Call车扣款,已用,
41,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A9LD118203,2019-11-27,3118232780,Call车扣款,已用,
42,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A3LD118178,2019-11-27,3118232782,Call车扣款,已用,
43,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A1LD118194,2019-11-27,3118232781,Call车扣款,已用,
44,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A5LD118179,2019-11-27,3118232783,Call车扣款,已用,
45,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54AXLD118310,2019-11-27,3118232784,Call车扣款,已用,
46,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A9LD118153,2019-11-27,3118232785,Call车扣款,已用,
47,2019-11-27,-35964.0,新科沃兹 LTZ,LSGEN54A3LD118164,2019-11-27,3118232786,Call车扣款,已用,
48,2019-11-27,-32364.0,新科沃兹 LT,LSGEN54A5LD116545,2019-11-27,3118232778,Call车扣款,已用,
49,2019-11-27,-32364.0,新科沃兹 LT,LSGEN54A6LD116554,2019-11-27,3118232777,Call车扣款,已用,
50,2019-11-27,-88524.0,探界者 LTZ,LSGXC83L9KV426015,2019-11-27,3118232810,Call车扣款,已用,
51,2019-11-27,-32364.0,新科沃兹 LT,LSGEN54AXLD116475,2019-11-27,3118232589,Call车扣款,已用,
52,2019-11-27,-32364.0,新科沃兹 LT,LSGEN54A8LD116619,2019-11-27,3118232588,Call车扣款,已用,
53,2019-11-27,-88524.0,探界者 LTZ,LSGXC83L6KV425260,2019-11-27,3118232590,Call车扣款,已用,
54,2019-11-27,-61164.0,创界 LT,LSGTN8390LY017446,2019-11-27,3118230772,Call车扣款,已用,
55,2019-11-27,-37764.0,科鲁泽 LS,LSGKB54AXLV063542,2019-11-27,3118230770,Call车扣款,已用,
56,2019-11-27,-37764.0,科鲁泽 LS,LSGKB54A0LV063503,2019-11-27,3118230769,Call车扣款,已用,
57,2019-11-27,-37764.0,科鲁泽 LS,LSGKB54A9LV063371,2019-11-27,3118230771,Call车扣款,已用,
58,2019-11-27,-61164.0,创界 LT,LSGTN8398LY017601,2019-11-27,3118230773,Call车扣款,已用,
59,2019-11-22,-37764.0,科鲁泽 LS,LSGKB54A4LV063178,2019-11-22,3118214327,Call车扣款,已用,
60,2019-11-22,-37764.0,科鲁泽 LS,LSGKB54A4LV063102,2019-11-22,3118214326,Call车扣款,已用,
61,2019-11-22,-37764.0,科鲁泽 LS,LSGKB54A6LV063134,2019-11-22,3118214328,Call车扣款,已用,
