"序号","VIN","车型","价格","配置","颜色","入库日期","生产日期","车辆来源"
1,"LSGZG53L4KS124936","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","闪电白","2020-01-23","2019-12-29","厂家到车"
2,"LSGKH8419KY067207","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","2020-01-21","2019-11-26","厂家到车"
3,"LSGKH8410KY067290","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","2020-01-21","2019-11-26","厂家到车"
4,"LSGKH8410KY069010","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","玄铁灰","2020-01-21","2019-12-06","厂家到车"
5,"LSGZG53L8KS120758","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","黯影灰","2020-01-16","2019-12-14","厂家到车"
6,"LSGZG53L5KS121074","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","黯影灰","2020-01-16","2019-12-14","厂家到车"
7,"LSGXC83L5KV434757","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","月光银","2020-01-16","2019-12-03","厂家到车"
8,"LSGXC8356KV427155","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","玄铁灰","2020-01-16","2019-11-01","厂家到车"
9,"LSGXC835XKV427241","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","玄铁灰","2020-01-16","2019-11-01","厂家到车"
10,"LSGTN8392LY015469","创界",179900,"创界 435T RS 9AT悍锐版(黑顶) 20","风尚红","2020-01-14","2019-10-09","厂家到车"
11,"LSGEM82AXLG004619","创酷",109900,"新一代创酷 325T 自动劲版(BLACK) 20","闪电白","2020-01-10","2019-06-20","厂家到车"
12,"LSGTN8396LY019217","创界",169900,"创界 435T RS CVT劲锐版(黑顶)(B-SRF) 20","陨铁灰","2020-01-10","2019-11-27","厂家到车"
13,"LSGKB5416LV035074","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","2020-01-06","2019-09-25","厂家到车"
