"VIN","奖金","储备金","合计","车型","价格","配置","CALL车日期","开票日期","发票号"
"LSGKB5412LV060635",-24000,-86304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295267"
"LSGZG539XKS114674",-9000,-149304,-158304,"迈锐宝XL",164900,"全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19","2019-12-09","2019/12/9 0:00","3118295271"
"LSGZG5398KS116603",-9000,-149304,-158304,"迈锐宝XL",164900,"全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19","2019-12-09","2019/12/9 0:00","3118295273"
"LSGZG5393KS115679",-9000,-149304,-158304,"迈锐宝XL",164900,"全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19","2019-12-09","2019/12/9 0:00","3118295272"
"LSGKB5410LV060858",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295268"
"LSGKB5417LV060758",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295270"
"LSGKB5419LV064679",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295264"
"LSGKB5410LV064733",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295263"
"LSGKB5418LV060655",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295266"
"LSGKB5413LV060580",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295269"
"LSGKB5419LV060857",-9000,-101304,-110304,"科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","2019-12-09","2019/12/9 0:00","3118295265"
"LSGEN54A8LD121111",-9000,-77304,-86304,"科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","2019-12-11","2019/12/11 0:00","3118301179"
"LSGTN8396LY019217",-101940,-61164,-163104,"创界",169900,"创界 435T RS CVT劲锐版(黑顶)(B-SRF) 20","2019-12-27","2019/12/27","3118363024"
"LSGTN8392LY015469",-107940,-64764,-172704,"创界",179900,"创界 435T RS 9AT悍锐版(黑顶) 20","2019-12-30","2019/12/30","3118372832"
