"VIN","车型","价格","配置","颜色","调出日期","调往公司"
"LSGZG5390KS082835","迈锐宝XL",164900,"全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19","墨玉黑","2020-01-03","成都吉翔"
"LSGKB5416LV035513","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5416LV035494","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5416LV035365","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB541XLV035627","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5416LV035463","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5414LV035929","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5418LV035724","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5411LV035483","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","2020-01-12","深圳安骅骅通"
"LSGKB5413LV036344","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","2020-01-12","深圳安骅骅通"
"LSGKB5414LV037776","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","2020-01-12","深圳安骅骅通"
"LSGXC8352KV423099","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","玄铁灰","2020-01-15","宜宾宏建"
