客户编号,经销商编号,名称,1,VIN,Billing No.,车型,开票日期,SO No.,金额,状态
1200044,CH1677,四川灵通,1,LSGZG53L4KS124936,3118425035,全新迈锐宝XL LT,2020/1/12,1318149699,-33178,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L9KS124804,3118425034,全新迈锐宝XL LT,2020/1/12,1318149685,-111940,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L5KS121074,3118418997,全新迈锐宝XL LT,2020/1/9,1318143823,-111940,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L4KS121034,3118418998,全新迈锐宝XL LT,2020/1/9,1318143833,-111940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L5KV434757,3118408645,探界者 LT,2020/1/6,1318133759,-120540,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC835XKV427241,3118408646,探界者 LT,2020/1/6,1318133756,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY067290,3118408642,沃兰多 LT,2020/1/6,1318133713,-82940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8419KY067207,3118408643,沃兰多 LT,2020/1/6,1318133724,-82940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY069010,3118408644,沃兰多 LT,2020/1/6,1318133733,-82940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8356KV427155,3118408647,探界者 LT,2020/1/6,1318133767,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGTN8392LY015469,3118372832,创界 LTZ,2019/12/30,1318098387,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGTN8396LY019217,3118363024,创界 LT,2019/12/27,1318088623,-97940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5417LV076961,3118428840,科鲁泽 LTZ,2020/1/13,1318154296,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5413LV078996,3118428838,科鲁泽 LT,2020/1/13,1318154321,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5417LV078838,3118428839,科鲁泽 LT,2020/1/13,1318154315,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L3KV432666,3118428842,探界者 LT,2020/1/13,1318154264,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8418KY065156,3118428836,沃兰多 LS,2020/1/13,1318154207,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8414KY067051,3118428837,沃兰多 LT,2020/1/13,1318154227,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV434859,3118428841,探界者 LS,2020/1/13,1318154238,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L9KS124804,3118425034,全新迈锐宝XL LT,2020/1/12,1318149685,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L4KS124936,3118425035,全新迈锐宝XL LT,2020/1/12,1318149699,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L5KS121074,3118418997,全新迈锐宝XL LT,2020/1/9,1318143823,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L4KS121034,3118418998,全新迈锐宝XL LT,2020/1/9,1318143833,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L8KS120758,3118418996,全新迈锐宝XL LT,2020/1/9,1318143822,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC835XKV427241,3118408646,探界者 LT,2020/1/6,1318133756,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8356KV427155,3118408647,探界者 LT,2020/1/6,1318133767,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY067290,3118408642,沃兰多 LT,2020/1/6,1318133713,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8419KY067207,3118408643,沃兰多 LT,2020/1/6,1318133724,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY069010,3118408644,沃兰多 LT,2020/1/6,1318133733,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L5KV434757,3118408645,探界者 LT,2020/1/6,1318133759,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGTN8392LY015469,3118372832,创界 LTZ,2019/12/30,1318098387,-4000,Call车扣款
1200044,CH1677,四川灵通,1,LSGTN8396LY019217,3118363024,创界 LT,2019/12/27,1318088623,-4000,Call车扣款
