序号,SO时间,金额(元),车型,车架号(VIN#),开票时间,发票号码,操作,状态
1,2020/1/13,-101304,科鲁泽 LT,LSGKB5413LV078996,2020/1/13,3118428838,Call车扣款,已用
2,2020/1/13,-101304,科鲁泽 LT,LSGKB5417LV078838,2020/1/13,3118428839,Call车扣款,已用
3,2020/1/13,-106104,科鲁泽 LTZ,LSGKB5417LV076961,2020/1/13,3118428840,Call车扣款,已用
4,2020/1/13,-201864,探界者 LT,LSGXC83L3KV432666,2020/1/13,3118428842,Call车扣款,已用
5,2020/1/13,-172304,探界者 LS,LSGXC8350KV434859,2020/1/13,3118428841,Call车扣款,已用
6,2020/1/13,-136904,沃兰多 LT,LSGKH8414KY067051,2020/1/13,3118428837,Call车扣款,已用
7,2020/1/13,-127304,沃兰多 LS,LSGKH8418KY065156,2020/1/13,3118428836,Call车扣款,已用
8,2020/1/12,-152526,全新迈锐宝XL LT,LSGZG53L4KS124936,2020/1/12,3118425035,Call车扣款,已用
9,2020/1/12,-73764,全新迈锐宝XL LT,LSGZG53L9KS124804,2020/1/12,3118425034,Call车扣款,已用
10,2020/1/9,-73764,全新迈锐宝XL LT,LSGZG53L4KS121034,2020/1/9,3118418998,Call车扣款,已用
11,2020/1/9,-73764,全新迈锐宝XL LT,LSGZG53L5KS121074,2020/1/9,3118418997,Call车扣款,已用
12,2020/1/9,-185704,全新迈锐宝XL LT,LSGZG53L8KS120758,2020/1/9,3118418996,Call车扣款,已用
13,2020/1/6,-71964,探界者 LT,LSGXC8356KV427155,2020/1/6,3118408647,Call车扣款,已用
14,2020/1/6,-81324,探界者 LT,LSGXC83L5KV434757,2020/1/6,3118408645,Call车扣款,已用
15,2020/1/6,-71964,探界者 LT,LSGXC835XKV427241,2020/1/6,3118408646,Call车扣款,已用
16,2020/1/6,-53964,沃兰多 LT,LSGKH8410KY069010,2020/1/6,3118408644,Call车扣款,已用
17,2020/1/6,-53964,沃兰多 LT,LSGKH8419KY067207,2020/1/6,3118408643,Call车扣款,已用
18,2020/1/6,-53964,沃兰多 LT,LSGKH8410KY067290,2020/1/6,3118408642,Call车扣款,已用
19,2019/12/30,-64764,创界 LTZ,LSGTN8392LY015469,2019/12/30,3118372832,Call车扣款,已用
20,2019/12/27,-61164,创界 LT,LSGTN8396LY019217,2019/12/27,3118363024,Call车扣款,已用
