stype,ltype,clr,vn,vin,way_state,state1,state2
探界者 LS ,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;流光白; ,29622605,LSGXC8350KV434859,VDC->VSC(2天) ,正常 ,正常 
探界者 LT ,探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5 ,玄铁灰;峡谷灰; ,29531558,LSGXC8356KV427155,VSC->Dealer(1天) ,正常 ,正常 
探界者 LT ,探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5 ,玄铁灰;峡谷灰; ,29531569,LSGXC835XKV427241,VSC->Dealer(1天) ,正常 ,正常 
探界者 LT ,探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;流光白; ,29598942,LSGXC83L3KV432666,VDC->VSC(2天) ,正常 ,正常 
探界者 LT ,探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5 ,月光银;钛银;冷铂银;冰川银;星河银 ; ,29622703,LSGXC83L5KV434757,VSC->Dealer(1天) ,正常 ,正常 
沃兰多 LS ,沃兰多 530T 自动劲享版(7Seat)(SRF)(GB6) 19.5 ,陨铁灰;云母灰;海崖灰; ,35789270,LSGKH8418KY065156,VDC->VSC(2天) ,正常 ,正常 
沃兰多 LT ,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;流光白; ,35810888,LSGKH8410KY067290,VSC(0天) ,正常 ,正常 
沃兰多 LT ,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;流光白; ,35810916,LSGKH8419KY067207,VSC(0天) ,正常 ,正常 
沃兰多 LT ,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5 ,陨铁灰;云母灰;海崖灰; ,35810131,LSGKH8414KY067051,VDC->VSC(0天) ,正常 ,正常 
沃兰多 LT ,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5 ,玄铁灰;风暴灰; ,35823419,LSGKH8410KY069010,VSC(0天) ,正常 ,正常 
科鲁泽 LT ,科鲁泽 RS 330T自动 畅快版 20 ,陨铁灰;高冷灰; ,29774205,LSGKB5417LV078838,VDC->VSC(2天) ,正常 ,正常 
科鲁泽 LT ,科鲁泽 RS 330T自动 畅快版 20 ,陨铁灰;高冷灰; ,29774157,LSGKB5413LV078996,VDC->VSC(2天) ,正常 ,正常 
科鲁泽 LTZ ,科鲁泽 RS 330T自动 痛快版 20 ,陨铁灰;高冷灰; ,29764210,LSGKB5417LV076961,VDC->VSC(2天) ,正常 ,正常 
全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;流光白; ,29750349,LSGZG53L9KS124804,VDC->VSC(3天) ,正常 ,正常 
全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;流光白; ,29752969,LSGZG53L4KS124936,VDC->VSC(3天) ,正常 ,正常 
全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19 ,黯影灰;寒光灰;霜灰; ,29680578,LSGZG53L5KS121074,VSC->Dealer(1天) ,正常 ,正常 
全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19 ,黯影灰;寒光灰;霜灰; ,29680100,LSGZG53L8KS120758,VSC->Dealer(1天) ,正常 ,正常 
全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19 ,黯影灰;寒光灰;霜灰; ,29680530,LSGZG53L4KS121034,VDC->VSC(6天) ,正常 ,正常 
