车系,车型,指导价 ,展厅/DCC提成,二网提成,销售权限,提成结算价
探界者,1.5T LA+ 6AT FWD（18）," 174,900 ",200,200,36000,38000
探界者,1.5T LS+ 6AT FWD（18）," 189,900 ",200,200,36000,42000
探界者,1.5T LT 6AT FWD（18）," 199,900 ",200,200,36000,42000
探界者,RL2.0T9AT LT AWD(RS)（19）," 225,900 ",200,200,36000,44000
探界者,RL2.0T9AT LTZ AWD(RS)（19）," 245,900 ",200,200,36000,44000
新科沃兹,1.0T自动欣悦版," 89,900 ",200,200,25000,28000
新科沃兹,1.0T自动欣尚版," 96,900 ",200,200,25000,28000
新科沃兹,1.0T自动欣耀版," 99,900 ",200,200,25000,28000
XL,READLINE 550T 锐动版," 194,900 ",200,200,36000,42000
XL,READLINE 550T 锐联版," 204,900 ",200,200,36000,45000
XL,READLINE 550T 锐智版," 219,900 ",200,200,36000,45000
XL,535T锐行版," 154,900 ",200,200,32000,38000
XL,535T锐动版," 164,900 ",200,200,32000,38000
XL,535T锐联版," 174,900 ",200,200,32000,38000
沃兰多,1.3T LS AT(7SEAT)," 139,900 ",200,200,28000,30000
沃兰多,1.3T LT AT (7SEAT)REDLINE," 149,900 ",200,200,28000,30000
沃兰多,1.3T LTZ AT(7SEAT)REDLINE," 154,900 ",100,100,28000,30000
沃兰多,1.3T LS AT(5SEAT)," 134,900 ",100,100,28000,30000
沃兰多,1.3T LT AT (5SEAT)REDLINE," 144,900 ",100,100,28000,30000
科鲁泽,320T手动," 89,900 ",200,200,18000,20000
科鲁泽,320T双离合欢快版," 104,900 ",200,200,28000,34000
科鲁泽,320T双离合爽快版," 109,900 ",200,200,28000,34000
科鲁泽,330T自动畅快版," 114,900 ",200,200,28000,34000
科鲁泽,330T自动痛快版," 119,900 ",200,200,28000,34000
新创酷,1.0T LS 6MT,"99,900",100,200,22000,28000
新创酷,1.0T LS 6AT,"109,900",100,200,22000,28000
新创酷,1.0T LS 6ATRL版,"127,900",200,200,22000,28000
新创酷,1.35T LS CVT RL版,"127,900",200,200,22000,28000
新创酷,1.35T LT CVT RL版,"134,900",200,200,22000,28000
新创酷,1.35T LTZ CVT RL版," 139,900 ",200,200,22000,28000
创界,435T逸锐版," 139,900 ",1500,500,25000,32000
创界,435T锋锐版," 149,900 ",1500,500,25000,32000
创界,435T驰锐版," 159,900 ",1500,500,25000,32000
创界,435T RS劲锐版," 169,900 ",1500,500,25000,32000
创界,435T RS悍锐版," 179,900 ",1500,500,25000,32000
