vin,bonus,reserve,calldt,kpdt,fpcode,
LSGPC54U0DF186565,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286051,
LSGPC54U3DF186544,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286052,
LSGPC54U3DF188262,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286056,
LSGPC54U3DF188519,-8310,-106794,2013/7/31 0:00,2013/7/31 0:00,3107286058,
LSGPC54U5DF186691,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286055,
LSGPC54U8DF186569,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286054,
LSGPC54U8DF188497,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286059,
LSGPC54U9DF186564,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286050,
LSGPC54U9DF186581,-35730,-79374,2013/7/31 0:00,2013/7/31 0:00,3107286053,
LSGSA52S1ED006234,-13750,-41738,2013/7/31 0:00,2013/7/31 0:00,3107286060,
LSGSA52S2EY008809,-13750,-41738,2013/7/31 0:00,2013/7/31 0:00,3107286061,
LSGSA52S2EY008891,-13750,-41738,2013/7/31 0:00,2013/7/31 0:00,3107286063,
LSGSA52S5EY007346,-13750,-41738,2013/7/31 0:00,2013/7/31 0:00,3107286062,
LSGGG54E8DS139112,-58750,-115874,2013/8/3 0:00,2013/8/3 0:00,3107293826,
LSGGG54EXDS138995,-58750,-115874,2013/8/3 0:00,2013/8/3 0:00,3107293824,
LSGGG54W5DS136306,-64560,-127344,2013/7/31 0:00,2013/7/31 0:00,3107284774,
LSGGG54E4DS134067,-68760,-135624,2013/7/31 0:00,2013/7/31 0:00,3107284775,
LSGGG54E5DS133851,-68760,-135624,2013/7/31 0:00,2013/7/31 0:00,3107284776,
LSGPC52U4DF180738,-32000,-72544,2013/7/29 0:00,2013/7/29 0:00,3107274446,
LSGPC52U8DF180550,-32000,-72544,2013/7/29 0:00,2013/7/29 0:00,3107274445,
LSGPC52U8DF180922,-32000,-72544,2013/7/29 0:00,2013/7/29 0:00,3107274447,
LSGPC54U3DF187175,-40000,-89504,2013/7/29 0:00,2013/7/29 0:00,3107274453,
LSGPC54U5DF187291,-40000,-89504,2013/7/29 0:00,2013/7/29 0:00,3107274452,
LSGPC54UXDF187027,-40000,-89504,2013/7/29 0:00,2013/7/29 0:00,3107274454,
LSGPC54U2DF187099,-35000,-80104,2013/7/29 0:00,2013/7/29 0:00,3107274451,
LSGPC54U4DF187105,-35000,-80104,2013/7/29 0:00,2013/7/29 0:00,3107274450,
LSGPC54U4DF187136,-35000,-80104,2013/7/29 0:00,2013/7/29 0:00,3107274449,
LSGPC54U6DF189230,-30000,-85104,2013/7/29 0:00,2013/7/29 0:00,3107274448,
LSGJL52M0DY230268,-21000,-57528,2013/7/29 0:00,2013/7/29 0:00,3107274439,
LSGJL52M7DY229263,-21000,-57528,2013/7/29 0:00,2013/7/29 0:00,3107274440,
LSGJL54M0DY212012,-22000,-62288,2013/7/29 0:00,2013/7/29 0:00,3107274441,
LSGJL54M5DY191335,-22000,-62288,2013/7/30 0:00,2013/7/30 0:00,3107279093,
LSGSA52S1ED005424,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274473,
LSGSA52S3EY007894,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274475,
LSGSA52S6EY007923,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274474,
LSGSA52SXED005809,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274471,
LSGSA52SXEY007973,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274472,
LSGSA52S1EY005299,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274469,
LSGSA52S1EY005383,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274464,
LSGSA52S2EY005716,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274462,
LSGSA52S5EY005290,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274465,
LSGSA52S6EY005282,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274468,
LSGSA52S7EY005386,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274470,
LSGSA52S7EY005713,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274461,
LSGSA52S8EY005364,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274467,
LSGSA52S8EY005381,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274463,
LSGSA52S9EY005261,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274466,
LSGSA52S9ED003209,-13700,-41788,2013/7/29 0:00,2013/7/29 0:00,3107274476,
