VIN,展厅,网点
LSGXC8358KV348473,400,200
LSGEM8299LG008764,300,100
LSGEM8299LG008831,300,100
LSGEM8291LG008788,300,100
LSGEM83A1LG004135,200,100
LSGEM83AXLG004005,200,100
LSGKB5412LV031054,400,200
LSGKB54A2KV379337,400,200
LSGKB54A5LV021179,400,100
LSGKB5411KV374856,200,100
LSGKB54A6KV359124,400,100
LSGKB54A5KV358241,400,100
LSGKB54A8KV359156,400,100
LSGZG53L2KS065451,400,100
LSGZG5394KS107400,200,50
LSGXC8352KV348226,300,100
LSGZG5394KS086998,200,50
LSGEN54A2LD044882,300,100
LSGZG539XKS077058,200,50
LSGEM83A8LG004102,400,100
LSGKB54AXLV008296,400,100
LSGZG5392KS078236,300,100
LSGZG5390KS078171,200,50
LSGKB54A5KV358787,400,100
LSGZG5391KS048287,300,100
LSGKB54A3KV348517,400,100
LSGXC8359KV347364,300,100
LSGZG5390KS107569,200,50
LSGEM8392LG010550,200,50
LSGEN54A6LD014784,300,100
LSGKB54A6KV347975,400,100
LSGEN54A3LD023748,300,100
LSGKB54AXLV021081,400,100
LSGKB54A1LV019817,400,0
LSGZG53L6KS084553,300,100
LSGKB54A3KV359100,400,100
LSGXC8358KV348988,300,100
LSGXC8359KV353116,300,100
LSGZG5391KS081600,200,50
LSGZG5390KS051293,500,200
LSGKB54A7KV348245,400,0
LSGZG5397KS048147,300,100
LSGKB54A0KV265675,800,400
LSGZG5395KS078196,300,100
LSGKB54A8KV354118,400,100
